iter	Passed	Remaining
785	7346	86122
786	7356	86117
787	7365	86102
788	7374	86094
789	7383	86079
790	7392	86066
791	7402	86059
792	7410	86042
793	7420	86031
794	7429	86018
795	7438	86015
796	7449	86020
797	7458	86009
798	7469	86014
799	7478	86003
800	7488	85997
801	7498	85997
802	7507	85989
803	7516	85974
804	7526	85965
805	7534	85948
806	7544	85942
807	7553	85928
808	7563	85924
809	7572	85911
810	7580	85893
811	7589	85882
812	7599	85872
813	7608	85859
814	7618	85854
815	7627	85846
816	7637	85844
817	7647	85845
818	7656	85833
819	7667	85834
820	7675	85818
821	7684	85800
822	7692	85776
823	7701	85757
824	7708	85730
825	7718	85720
826	7726	85702
827	7735	85692
828	7745	85686
829	7755	85688
830	7765	85678
831	7775	85679
832	7784	85670
833	7795	85670
834	7805	85676
835	7815	85667
836	7825	85666
837	7833	85648
838	7842	85634
839	7851	85619
840	7860	85601
841	7868	85584
842	7878	85574
843	7887	85567
844	7897	85565
845	7907	85562
846	7915	85540
847	7925	85534
848	7933	85515
849	7943	85504
850	7951	85489
851	7961	85485
852	7971	85477
853	7980	85465
854	7989	85454
855	7998	85444
856	8007	85431
857	8016	85417
858	8026	85410
859	8035	85401
860	8045	85399
861	8055	85390
862	8064	85386
863	8074	85378
864	8083	85371
865	8095	85387
866	8105	85384
867	8115	85383
868	8125	85373
869	8134	85368
870	8144	85363
871	8154	85357
872	8163	85342
873	8173	85342
874	8182	85334
875	8191	85316
876	8200	85301
877	8209	85296
878	8219	85293
879	8243	85428
880	8252	85421
881	8262	85417
882	8272	85412
883	8281	85400
884	8290	85385
885	8299	85373
886	8308	85362
887	8318	85354
888	8327	85344
889	8335	85321
890	8344	85307
891	8353	85300
892	8363	85287
893	8372	85281
894	8382	85273
895	8391	85265
896	8401	85265
897	8410	85251
898	8420	85243
899	8430	85236
900	8439	85233
901	8450	85238
902	8459	85225
903	8469	85223
904	8480	85222
905	8488	85206
906	8498	85196
907	8506	85176
908	8514	85156
909	8523	85136
910	8531	85116
911	8540	85105
912	8550	85098
913	8558	85081
914	8568	85071
915	8577	85067
916	8586	85050
917	8596	85047
918	8604	85026
919	8613	85015
920	8623	85008
921	8633	85004
922	8642	84992
923	8651	84976
924	8661	84978
925	8670	84967
926	8681	84969
927	8690	84955
928	8700	84955
929	8709	84944
930	8717	84922
931	8727	84917
932	8736	84898
933	8745	84884
934	8753	84867
935	8762	84854
936	8771	84842
937	8780	84830
938	8790	84823
939	8798	84803
940	8808	84800
941	8817	84781
942	8827	84779
943	8836	84766
944	8845	84753
945	8853	84736
946	8862	84723
947	8871	84712
948	8880	84694
949	8889	84684
950	8897	84663
951	8906	84649
952	8914	84624
953	8923	84615
954	8933	84607
955	8941	84592
956	8951	84584
957	8960	84574
958	8969	84555
959	8978	84543
960	8987	84530
961	8996	84524
962	9006	84517
963	9015	84508
964	9025	84502
965	9034	84489
966	9043	84480
967	9053	84478
968	9063	84467
969	9072	84457
970	9081	84449
971	9090	84435
972	9099	84418
973	9108	84403
974	9116	84389
975	9126	84381
976	9136	84375
977	9146	84372
978	9154	84355
979	9163	84341
980	9172	84325
981	9180	84311
982	9190	84299
983	9199	84290
984	9208	84278
985	9218	84271
986	9226	84257
987	9236	84247
988	9244	84227
989	9254	84222
990	9263	84213
991	9272	84201
992	9281	84188
993	9290	84171
994	9299	84162
995	9308	84147
996	9317	84136
997	9327	84131
998	9337	84131
999	9348	84138
1000	9358	84134
1001	9369	84134
1002	9378	84125
1003	9386	84108
1004	9396	84096
1005	9405	84090
1006	9415	84081
1007	9424	84069
1008	9432	84050
1009	9440	84031
1010	9450	84027
1011	9459	84013
1012	9468	83998
1013	9477	83987
1014	9485	83971
1015	9495	83962
1016	9504	83948
1017	9512	83933
1018	9521	83916
1019	9530	83903
1020	9539	83891
1021	9548	83881
1022	9558	83878
1023	9567	83868
1024	9577	83859
1025	9585	83841
1026	9595	83833
1027	9603	83816
1028	9612	83806
1029	9621	83789
1030	9628	83764
1031	9638	83754
1032	9646	83732
1033	9655	83726
1034	9663	83707
1035	9672	83690
1036	9680	83674
1037	9689	83660
1038	9698	83647
1039	9708	83638
1040	9717	83629
1041	9726	83616
1042	9735	83606
1043	9743	83586
1044	9752	83576
1045	9760	83556
1046	9769	83540
1047	9777	83521
1048	9786	83505
1049	9795	83491
1050	9804	83482
1051	9812	83462
1052	9821	83450
1053	9830	83439
1054	9840	83434
1055	9849	83421
1056	9858	83407
1057	9866	83388
1058	9874	83373
1059	9884	83361
1060	9892	83344
1061	9901	83330
1062	9910	83322
1063	9920	83317
1064	9929	83305
1065	9938	83289
1066	9945	83266
1067	9954	83248
1068	9962	83234
1069	9971	83222
1070	9981	83215
1071	9989	83195
1072	9999	83189
1073	10007	83175
1074	10016	83161
1075	10024	83143
1076	10034	83134
1077	10043	83122
1078	10051	83107
1079	10060	83095
1080	10070	83085
1081	10077	83064
1082	10086	83044
1083	10094	83030
1084	10103	83020
